HDR,ROLLING SYSTEM DEMAND
VD,20220918220000,23765
VD,20220918220500,23958
VD,20220918221000,24120
VD,20220918221500,23768
VD,20220918222000,23528
VD,20220918222500,23334
VD,20220918223000,23114
VD,20220918223500,22935
VD,20220918224000,22821
VD,20220918224500,22649
VD,20220918225000,22521
VD,20220918225500,22401
VD,20220918230000,22252
VD,20220918230500,22095
VD,20220918231000,22057
VD,20220918231500,21957
VD,20220918232000,21854
VD,20220918232500,21697
VD,20220918233000,21603
VD,20220918233500,21549
VD,20220918234000,21509
VD,20220918234500,21498
VD,20220918235000,21376
VD,20220918235500,21271
VD,20220919000000,21218
VD,20220919000500,21283
VD,20220919001000,21223
VD,20220919001500,21174
VD,20220919002000,21067
VD,20220919002500,20911
VD,20220919003000,20795
VD,20220919003500,20824
VD,20220919004000,20891
VD,20220919004500,21088
VD,20220919005000,21207
VD,20220919005500,21223
VD,20220919010000,21137
VD,20220919010500,21069
VD,20220919011000,21058
VD,20220919011500,20997
VD,20220919012000,20955
VD,20220919012500,20873
VD,20220919013000,20798
VD,20220919013500,20747
VD,20220919014000,20678
VD,20220919014500,20611
VD,20220919015000,20576
VD,20220919015500,20550
VD,20220919020000,20564
VD,20220919020500,20578
VD,20220919021000,20575
VD,20220919021500,20435
VD,20220919022000,20342
VD,20220919022500,20280
VD,20220919023000,20342
VD,20220919023500,20370
VD,20220919024000,20328
VD,20220919024500,20253
VD,20220919025000,20234
VD,20220919025500,20153
VD,20220919030000,20117
VD,20220919030500,20414
VD,20220919031000,20760
VD,20220919031500,20758
VD,20220919032000,20762
VD,20220919032500,20781
VD,20220919033000,20709
VD,20220919033500,20837
VD,20220919034000,20827
VD,20220919034500,20775
VD,20220919035000,20698
VD,20220919035500,20691
VD,20220919040000,20767
VD,20220919040500,21512
VD,20220919041000,22171
VD,20220919041500,22235
VD,20220919042000,22358
VD,20220919042500,22466
VD,20220919043000,22500
VD,20220919043500,22726
VD,20220919044000,22890
VD,20220919044500,22904
VD,20220919045000,22938
VD,20220919045500,23007
VD,20220919050000,22852
VD,20220919050500,23028
VD,20220919051000,23303
VD,20220919051500,23594
VD,20220919052000,23670
VD,20220919052500,23709
VD,20220919053000,23764
VD,20220919053500,23804
VD,20220919054000,23945
VD,20220919054500,24086
VD,20220919055000,24334
VD,20220919055500,24503
VD,20220919060000,24857
VD,20220919060500,25277
VD,20220919061000,25580
VD,20220919061500,25772
VD,20220919062000,25826
VD,20220919062500,25834
VD,20220919063000,25913
VD,20220919063500,26004
VD,20220919064000,26216
VD,20220919064500,26387
VD,20220919065000,26534
VD,20220919065500,26672
VD,20220919070000,26782
VD,20220919070500,26775
VD,20220919071000,26952
VD,20220919071500,27207
VD,20220919072000,27363
VD,20220919072500,27477
VD,20220919073000,27593
VD,20220919073500,27582
VD,20220919074000,27635
VD,20220919074500,27630
VD,20220919075000,27708
VD,20220919075500,27813
VD,20220919080000,27847
VD,20220919080500,27773
VD,20220919081000,27734
VD,20220919081500,27874
VD,20220919082000,27923
VD,20220919082500,27939
VD,20220919083000,28030
VD,20220919083500,28083
VD,20220919084000,28079
VD,20220919084500,28085
VD,20220919085000,28009
VD,20220919085500,27923
VD,20220919090000,27793
VD,20220919090500,27704
VD,20220919091000,27714
VD,20220919091500,27760
VD,20220919092000,27712
VD,20220919092500,27607
VD,20220919093000,27632
VD,20220919093500,27512
VD,20220919094000,27085
VD,20220919094500,26726
VD,20220919095000,26300
VD,20220919095500,26277
VD,20220919100000,25892
VD,20220919100500,25754
VD,20220919101000,25813
VD,20220919101500,26258
VD,20220919102000,26329
VD,20220919102500,26428
VD,20220919103000,26391
VD,20220919103500,26460
VD,20220919104000,26552
VD,20220919104500,26535
VD,20220919105000,26488
VD,20220919105500,26273
VD,20220919110000,26012
VD,20220919110500,25915
VD,20220919111000,26177
VD,20220919111500,26136
VD,20220919112000,26140
VD,20220919112500,26298
VD,20220919113000,26442
VD,20220919113500,26595
VD,20220919114000,26666
VD,20220919114500,26748
VD,20220919115000,27027
VD,20220919115500,27064
VD,20220919120000,26760
VD,20220919120500,26540
VD,20220919121000,26459
VD,20220919121500,26389
VD,20220919122000,26353
VD,20220919122500,26349
VD,20220919123000,26156
VD,20220919123500,25886
VD,20220919124000,25525
VD,20220919124500,25401
VD,20220919125000,26088
VD,20220919125500,26511
VD,20220919130000,26762
VD,20220919130500,26919
VD,20220919131000,27000
VD,20220919131500,27052
VD,20220919132000,27080
VD,20220919132500,27096
VD,20220919133000,26978
VD,20220919133500,26888
VD,20220919134000,26943
VD,20220919134500,27014
VD,20220919135000,27158
VD,20220919135500,27090
VD,20220919140000,26951
VD,20220919140500,27089
VD,20220919141000,26982
VD,20220919141500,26988
VD,20220919142000,27014
VD,20220919142500,27065
VD,20220919143000,27005
VD,20220919143500,27067
VD,20220919144000,27080
VD,20220919144500,27201
VD,20220919145000,27211
VD,20220919145500,27256
VD,20220919150000,26831
VD,20220919150500,26695
VD,20220919151000,26861
VD,20220919151500,26899
VD,20220919152000,27036
VD,20220919152500,27466
VD,20220919153000,27769
VD,20220919153500,28085
VD,20220919154000,28331
VD,20220919154500,28382
VD,20220919155000,28398
VD,20220919155500,27769
VD,20220919160000,27697
VD,20220919160500,28772
VD,20220919161000,29265
VD,20220919161500,29841
VD,20220919162000,30177
VD,20220919162500,30228
VD,20220919163000,30344
VD,20220919163500,30445
VD,20220919164000,30248
VD,20220919164500,30678
VD,20220919165000,30675
VD,20220919165500,30629
VD,20220919170000,30564
VD,20220919170500,30422
VD,20220919171000,30498
VD,20220919171500,30525
VD,20220919172000,30607
VD,20220919172500,30663
VD,20220919173000,30631
VD,20220919173500,30658
VD,20220919174000,30555
VD,20220919174500,30509
VD,20220919175000,30470
VD,20220919175500,30410
VD,20220919180000,30362
VD,20220919180500,30403
VD,20220919181000,30481
VD,20220919181500,30455
VD,20220919182000,30600
VD,20220919182500,30753
VD,20220919183000,30756
VD,20220919183500,30821
VD,20220919184000,30787
VD,20220919184500,30665
VD,20220919185000,30651
VD,20220919185500,30540
VD,20220919190000,30258
VD,20220919190500,29997
VD,20220919191000,29926
VD,20220919191500,29780
VD,20220919192000,29482
VD,20220919192500,29292
VD,20220919193000,29028
VD,20220919193500,28952
VD,20220919194000,28883
VD,20220919194500,28773
VD,20220919195000,28560
VD,20220919195500,28424
VD,20220919200000,28345
VD,20220919200500,28331
VD,20220919201000,28199
VD,20220919201500,27924
VD,20220919202000,27730
VD,20220919202500,27657
VD,20220919203000,27466
VD,20220919203500,27299
VD,20220919204000,27102
VD,20220919204500,26937
VD,20220919205000,26712
VD,20220919205500,26650
VD,20220919210000,26680
VD,20220919210500,26970
VD,20220919211000,27139
VD,20220919211500,27002
VD,20220919212000,26837
VD,20220919212500,26579
VD,20220919213000,26266
VD,20220919213500,26127
VD,20220919214000,25959
VD,20220919214500,25686
VD,20220919215000,25482
VD,20220919215500,25254
VD,20220919220000,25195
VD,20220919220500,25540
VD,20220919221000,25926
VD,20220919221500,25964
VD,20220919222000,25979
VD,20220919222500,25784
VD,20220919223000,25659
VD,20220919223500,25629
VD,20220919224000,25567
VD,20220919224500,25522
VD,20220919225000,25428
VD,20220919225500,25354
VD,20220919230000,25198
VD,20220919230500,24840
VD,20220919231000,24724
VD,20220919231500,24602
VD,20220919232000,24495
VD,20220919232500,24452
VD,20220919233000,24175
VD,20220919233500,24083
