HDR,ROLLING SYSTEM DEMAND
VD,20220919234000,24073
VD,20220919234500,24078
VD,20220919235000,24091
VD,20220919235500,24119
VD,20220920000000,24108
VD,20220920000500,24236
VD,20220920001000,24205
VD,20220920001500,24112
VD,20220920002000,24091
VD,20220920002500,24078
VD,20220920003000,24001
VD,20220920003500,24052
VD,20220920004000,24098
VD,20220920004500,24095
VD,20220920005000,24072
VD,20220920005500,24048
VD,20220920010000,23999
VD,20220920010500,23850
VD,20220920011000,23745
VD,20220920011500,23697
VD,20220920012000,23631
VD,20220920012500,23598
VD,20220920013000,23488
VD,20220920013500,23404
VD,20220920014000,23330
VD,20220920014500,23261
VD,20220920015000,23238
VD,20220920015500,23239
VD,20220920020000,23249
VD,20220920020500,23181
VD,20220920021000,23221
VD,20220920021500,23222
VD,20220920022000,23188
VD,20220920022500,23185
VD,20220920023000,23161
VD,20220920023500,23215
VD,20220920024000,23233
VD,20220920024500,23210
VD,20220920025000,23214
VD,20220920025500,23195
VD,20220920030000,23199
VD,20220920030500,23273
VD,20220920031000,23201
VD,20220920031500,23373
VD,20220920032000,23440
VD,20220920032500,23503
VD,20220920033000,23500
VD,20220920033500,23463
VD,20220920034000,23505
VD,20220920034500,23514
VD,20220920035000,23581
VD,20220920035500,23628
VD,20220920040000,23715
VD,20220920040500,23948
VD,20220920041000,24124
VD,20220920041500,24254
VD,20220920042000,24406
VD,20220920042500,24554
VD,20220920043000,24714
VD,20220920043500,24941
VD,20220920044000,24991
VD,20220920044500,25324
VD,20220920045000,25429
VD,20220920045500,25649
VD,20220920050000,25656
VD,20220920050500,25574
VD,20220920051000,26500
VD,20220920051500,26817
VD,20220920052000,27104
VD,20220920052500,27362
VD,20220920053000,27571
VD,20220920053500,27933
VD,20220920054000,28099
VD,20220920054500,28666
VD,20220920055000,29022
VD,20220920055500,29169
VD,20220920060000,29245
VD,20220920060500,29239
VD,20220920061000,29399
VD,20220920061500,29754
VD,20220920062000,30097
VD,20220920062500,30310
VD,20220920063000,30473
VD,20220920063500,30687
VD,20220920064000,30751
VD,20220920064500,30963
VD,20220920065000,31056
VD,20220920065500,31031
VD,20220920070000,30852
VD,20220920070500,30610
VD,20220920071000,30519
VD,20220920071500,30440
VD,20220920072000,30358
VD,20220920072500,30387
VD,20220920073000,30322
VD,20220920073500,30326
VD,20220920074000,30355
VD,20220920074500,30376
VD,20220920075000,30339
VD,20220920075500,30235
VD,20220920080000,30274
VD,20220920080500,30175
VD,20220920081000,30253
VD,20220920081500,30192
VD,20220920082000,30149
VD,20220920082500,29972
VD,20220920083000,29895
VD,20220920083500,29859
VD,20220920084000,29872
VD,20220920084500,29758
VD,20220920085000,29616
VD,20220920085500,29525
VD,20220920090000,29448
VD,20220920090500,29468
VD,20220920091000,29355
VD,20220920091500,29192
VD,20220920092000,29154
VD,20220920092500,29155
VD,20220920093000,29080
VD,20220920093500,29056
VD,20220920094000,29091
VD,20220920094500,29001
VD,20220920095000,28974
VD,20220920095500,28879
VD,20220920100000,28854
VD,20220920100500,28904
VD,20220920101000,28963
VD,20220920101500,29002
VD,20220920102000,28883
VD,20220920102500,28803
VD,20220920103000,28805
VD,20220920103500,28810
VD,20220920104000,28696
VD,20220920104500,28560
VD,20220920105000,28559
VD,20220920105500,28663
VD,20220920110000,28631
VD,20220920110500,28616
VD,20220920111000,28464
VD,20220920111500,28418
VD,20220920112000,28512
VD,20220920112500,28498
VD,20220920113000,28407
VD,20220920113500,28222
VD,20220920114000,28186
VD,20220920114500,28127
VD,20220920115000,28123
VD,20220920115500,28171
VD,20220920120000,28218
VD,20220920120500,28580
VD,20220920121000,28806
VD,20220920121500,28765
VD,20220920122000,28679
VD,20220920122500,28717
VD,20220920123000,28778
VD,20220920123500,28884
VD,20220920124000,28814
VD,20220920124500,28703
VD,20220920125000,28737
VD,20220920125500,28778
VD,20220920130000,28744
VD,20220920130500,28637
VD,20220920131000,28535
VD,20220920131500,28500
VD,20220920132000,28552
VD,20220920132500,28546
VD,20220920133000,28489
VD,20220920133500,28636
VD,20220920134000,28645
VD,20220920134500,28636
VD,20220920135000,28800
VD,20220920135500,28796
VD,20220920140000,28755
VD,20220920140500,28540
VD,20220920141000,28422
VD,20220920141500,28458
VD,20220920142000,28462
VD,20220920142500,28469
VD,20220920143000,28475
VD,20220920143500,28522
VD,20220920144000,28633
VD,20220920144500,28520
VD,20220920145000,28583
VD,20220920145500,28669
VD,20220920150000,28689
VD,20220920150500,28505
VD,20220920151000,28740
VD,20220920151500,28912
VD,20220920152000,29133
VD,20220920152500,29290
VD,20220920153000,29479
VD,20220920153500,29848
VD,20220920154000,29918
VD,20220920154500,30045
VD,20220920155000,30193
VD,20220920155500,30342
VD,20220920160000,30423
VD,20220920160500,30579
VD,20220920161000,30801
VD,20220920161500,30938
VD,20220920162000,31117
VD,20220920162500,31244
VD,20220920163000,31313
VD,20220920163500,31351
VD,20220920164000,31337
VD,20220920164500,31246
VD,20220920165000,31289
VD,20220920165500,31331
VD,20220920170000,31540
VD,20220920170500,31835
VD,20220920171000,31972
VD,20220920171500,31958
VD,20220920172000,32143
VD,20220920172500,32321
VD,20220920173000,32339
VD,20220920173500,32367
VD,20220920174000,32413
VD,20220920174500,32407
VD,20220920175000,32423
VD,20220920175500,32424
VD,20220920180000,32313
VD,20220920180500,32170
VD,20220920181000,32061
VD,20220920181500,31258
VD,20220920182000,31361
VD,20220920182500,31385
VD,20220920183000,31524
VD,20220920183500,31486
VD,20220920184000,31332
VD,20220920184500,31208
VD,20220920185000,31100
VD,20220920185500,30922
VD,20220920190000,30593
VD,20220920190500,30559
VD,20220920191000,30398
VD,20220920191500,30212
VD,20220920192000,30079
VD,20220920192500,30106
VD,20220920193000,29980
VD,20220920193500,30041
VD,20220920194000,30213
VD,20220920194500,29988
VD,20220920195000,29801
VD,20220920195500,29584
VD,20220920200000,29457
VD,20220920200500,29817
VD,20220920201000,29967
VD,20220920201500,29823
VD,20220920202000,29688
VD,20220920202500,29431
VD,20220920203000,29360
VD,20220920203500,29363
VD,20220920204000,29333
VD,20220920204500,29185
VD,20220920205000,28901
VD,20220920205500,28707
VD,20220920210000,28687
VD,20220920210500,28959
VD,20220920211000,29164
VD,20220920211500,28984
VD,20220920212000,28893
VD,20220920212500,28605
VD,20220920213000,28477
VD,20220920213500,28072
VD,20220920214000,27799
VD,20220920214500,27705
VD,20220920215000,27691
VD,20220920215500,27236
VD,20220920220000,26857
VD,20220920220500,26909
VD,20220920221000,26803
VD,20220920221500,26582
VD,20220920222000,26310
VD,20220920222500,26010
VD,20220920223000,25736
VD,20220920223500,25666
VD,20220920224000,25512
VD,20220920224500,25412
VD,20220920225000,25261
VD,20220920225500,25050
VD,20220920230000,24858
VD,20220920230500,24708
VD,20220920231000,24545
VD,20220920231500,24447
VD,20220920232000,24425
VD,20220920232500,24235
VD,20220920233000,24119
VD,20220920233500,24054
VD,20220920234000,24026
VD,20220920234500,24001
VD,20220920235000,23981
VD,20220920235500,23917
VD,20220921000000,23930
VD,20220921000500,24039
VD,20220921001000,23935
VD,20220921001500,23873
VD,20220921002000,23857
VD,20220921002500,23863
VD,20220921003000,23897
VD,20220921003500,24001
VD,20220921004000,23918
VD,20220921004500,23964
VD,20220921005000,23873
VD,20220921005500,23874
VD,20220921010000,23849
VD,20220921010500,23805
VD,20220921011000,23696
VD,20220921011500,23615
VD,20220921012000,23625
VD,20220921012500,23685
VD,20220921013000,23667
VD,20220921013500,23664
VD,20220921014000,23619
VD,20220921014500,23597
VD,20220921015000,23580
VD,20220921015500,23539
VD,20220921020000,23478
VD,20220921020500,23453
VD,20220921021000,23431
VD,20220921021500,23375
VD,20220921022000,23329
VD,20220921022500,23342
VD,20220921023000,23310
VD,20220921023500,23321
VD,20220921024000,23244
VD,20220921024500,23179
VD,20220921025000,23197
VD,20220921025500,23182
VD,20220921030000,23209
VD,20220921030500,23239
VD,20220921031000,23222
VD,20220921031500,23238
VD,20220921032000,23293
VD,20220921032500,23304
VD,20220921033000,23318
VD,20220921033500,23383
VD,20220921034000,23333
VD,20220921034500,23299
VD,20220921035000,23296
VD,20220921035500,23374
VD,20220921040000,23440
VD,20220921040500,23553
VD,20220921041000,23743
VD,20220921041500,23753
VD,20220921042000,23967
VD,20220921042500,24124
VD,20220921043000,24210
VD,20220921043500,24377
VD,20220921044000,24543
VD,20220921044500,24705
VD,20220921045000,24839
VD,20220921045500,25015
VD,20220921050000,25199
VD,20220921050500,25566
VD,20220921051000,26014
VD,20220921051500,26291
VD,20220921052000,26598
VD,20220921052500,27147
VD,20220921053000,27382
VD,20220921053500,27730
VD,20220921054000,28096
VD,20220921054500,28420
VD,20220921055000,28775
VD,20220921055500,29064
VD,20220921060000,29377
VD,20220921060500,29909
VD,20220921061000,30544
VD,20220921061500,30773
VD,20220921062000,30981
VD,20220921062500,31180
VD,20220921063000,31381
VD,20220921063500,31673
VD,20220921064000,31801
VD,20220921064500,32002
VD,20220921065000,32063
VD,20220921065500,32076
VD,20220921070000,32046
VD,20220921070500,32263
VD,20220921071000,32438
VD,20220921071500,32322
VD,20220921072000,32331
VD,20220921072500,32240
VD,20220921073000,32178
VD,20220921073500,32152
VD,20220921074000,32125
VD,20220921074500,32041
VD,20220921075000,32099
VD,20220921075500,32117
VD,20220921080000,32143
VD,20220921080500,32237
VD,20220921081000,32373
VD,20220921081500,32424
VD,20220921082000,32307
VD,20220921082500,32201
VD,20220921083000,32086
VD,20220921083500,32001
VD,20220921084000,31960
VD,20220921084500,31875
VD,20220921085000,31788
VD,20220921085500,31603
VD,20220921090000,31533
VD,20220921090500,31439
VD,20220921091000,31299
VD,20220921091500,31244
VD,20220921092000,31228
VD,20220921092500,31065
VD,20220921093000,31069
VD,20220921093500,31236
VD,20220921094000,31091
VD,20220921094500,30981
VD,20220921095000,30978
VD,20220921095500,30872
VD,20220921100000,30759
VD,20220921100500,30739
VD,20220921101000,30705
VD,20220921101500,30738
VD,20220921102000,30736
VD,20220921102500,30673
VD,20220921103000,30623
VD,20220921103500,30522
VD,20220921104000,30422
VD,20220921104500,30388
VD,20220921105000,30388
VD,20220921105500,30505
VD,20220921110000,30572
VD,20220921110500,30688
VD,20220921111000,30742
VD,20220921111500,30794
VD,20220921112000,30763
VD,20220921112500,30658
VD,20220921113000,30544
VD,20220921113500,30537
VD,20220921114000,30516
VD,20220921114500,30510
VD,20220921115000,30532
VD,20220921115500,30444
VD,20220921120000,30446
VD,20220921120500,30584
VD,20220921121000,30562
VD,20220921121500,30374
VD,20220921122000,30368
VD,20220921122500,30295
VD,20220921123000,30219
VD,20220921123500,30222
VD,20220921124000,30205
VD,20220921124500,30124
VD,20220921125000,30128
VD,20220921125500,30097
VD,20220921130000,30108
VD,20220921130500,30170
VD,20220921131000,30197
VD,20220921131500,30187
VD,20220921132000,30173
VD,20220921132500,30127
VD,20220921133000,30024
VD,20220921133500,30081
VD,20220921134000,30123
VD,20220921134500,29927
VD,20220921135000,29946
VD,20220921135500,29866
VD,20220921140000,29842
VD,20220921140500,29708
VD,20220921141000,29705
VD,20220921141500,29810
VD,20220921142000,29962
VD,20220921142500,30114
VD,20220921143000,30207
VD,20220921143500,30252
VD,20220921144000,30399
VD,20220921144500,30579
VD,20220921145000,30884
VD,20220921145500,30993
VD,20220921150000,30989
VD,20220921150500,30788
VD,20220921151000,30827
VD,20220921151500,30964
VD,20220921152000,31186
VD,20220921152500,31363
VD,20220921153000,31581
VD,20220921153500,31695
VD,20220921154000,31725
VD,20220921154500,31848
VD,20220921155000,32064
VD,20220921155500,32264
VD,20220921160000,32349
VD,20220921160500,32581
VD,20220921161000,32815
VD,20220921161500,33132
VD,20220921162000,33246
VD,20220921162500,33389
VD,20220921163000,33426
VD,20220921163500,33506
VD,20220921164000,33455
VD,20220921164500,33515
VD,20220921165000,33559
VD,20220921165500,33712
VD,20220921170000,33902
VD,20220921170500,34137
VD,20220921171000,34287
VD,20220921171500,34252
VD,20220921172000,34296
VD,20220921172500,34305
VD,20220921173000,34273
VD,20220921173500,34279
VD,20220921174000,34250
VD,20220921174500,34235
VD,20220921175000,34260
VD,20220921175500,34259
VD,20220921180000,34240
VD,20220921180500,34370
VD,20220921181000,34407
VD,20220921181500,34568
VD,20220921182000,34670
VD,20220921182500,34813
VD,20220921183000,34816
VD,20220921183500,34889
VD,20220921184000,34881
VD,20220921184500,34812
VD,20220921185000,34722
VD,20220921185500,34443
VD,20220921190000,34231
VD,20220921190500,34030
VD,20220921191000,33956
VD,20220921191500,33741
VD,20220921192000,33621
VD,20220921192500,33283
VD,20220921193000,32887
VD,20220921193500,32710
VD,20220921194000,32576
VD,20220921194500,32395
VD,20220921195000,32316
VD,20220921195500,32173
VD,20220921200000,32220
VD,20220921200500,32235
VD,20220921201000,32106
VD,20220921201500,31757
VD,20220921202000,31523
VD,20220921202500,31172
VD,20220921203000,30920
VD,20220921203500,30642
VD,20220921204000,30137
VD,20220921204500,29775
VD,20220921205000,29669
VD,20220921205500,29402
VD,20220921210000,29238
VD,20220921210500,29265
VD,20220921211000,29104
VD,20220921211500,28838
VD,20220921212000,28609
VD,20220921212500,28320
VD,20220921213000,28050
VD,20220921213500,27632
VD,20220921214000,27298
VD,20220921214500,27050
VD,20220921215000,26749
VD,20220921215500,26532
VD,20220921220000,26343
VD,20220921220500,26097
VD,20220921221000,25629
VD,20220921221500,25323
VD,20220921222000,24933
VD,20220921222500,24655
VD,20220921223000,24407
VD,20220921223500,24280
VD,20220921224000,24286
VD,20220921224500,24138
VD,20220921225000,23972
VD,20220921225500,23761
VD,20220921230000,23599
VD,20220921230500,23418
VD,20220921231000,23327
VD,20220921231500,23302
VD,20220921232000,23052
VD,20220921232500,22800
VD,20220921233000,22617
VD,20220921233500,22729
VD,20220921234000,22728
VD,20220921234500,22623
VD,20220921235000,22765
VD,20220921235500,22728
VD,20220922000000,22665
VD,20220922000500,22716
VD,20220922001000,22677
VD,20220922001500,22579
VD,20220922002000,22658
VD,20220922002500,22567
VD,20220922003000,22488
VD,20220922003500,22605
VD,20220922004000,22693
